school_id,record_date,week_number,school_name,type,plan,economy_level,number_students,tuition_rank,school_level,decision_maker_role,geographical_region,tenure_weeks,contract_remaining_weeks,contract_type,recent_contract_change,renewal_count,payment_delay,payment_frequency,recent_price_change,price_sensitivity,discount_applied,active_users_percentage,weekly_active_users,usage_trend,feature_adoption_rate,critical_feature_usage,peak_usage_day,session_duration_avg,session_frequency,idle_user_percentage,usage_consistency,number_messages_to_support,complain_level,support_response_time,support_ticket_trend,tech_savy_level,number_complaints_with_ceo,support_ticket_categories,sentiment,nps_score,nps_trend,sentiment_trend,feedback_participation,positive_feedback_ratio,feature_satisfaction,training_satisfaction,bugs_ratio,ratio_usability,error_rate,page_load_time,historic_complain_ratio,critical_bug_count,workflow_completion_rate,ratio_feature_requests,feature_request_fulfillment,days_since_feature_update,alignment_with_roadmap,competitor_feature_mentions,days_since_admin_login,stakeholder_engagement,training_completion_rate,days_since_cs_contact,meeting_attendance_rate,proactive_contact_ratio,week_of_year,academic_period,days_to_break,budget_cycle_position,is_renewal_period,churn_risk_score,usage_to_complaint_ratio,engagement_trend,health_score,relative_performance,roi_indicator,feature_value_ratio,churned,churn_reason
1,2024-10-26,43,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,28,17,multi-year,0,0,0,annually,0.0,0.78,1,23.7,139,0.09,17.8,1,4,43,7.2,76.3,0.23,6,0.37,11.3,-0.19,0.33,0,bug,0.71,7,-0.9,0.09,40.0,0.78,3,3,0.09,0.06,8.7,798,0.01,0,94.0,0.2,0.03,26,0.19,0,4,0.56,0.99,20,0.56,0.59,43,summer break,30,depleted,0,0.51,0.56,-0.08,1.03,0.6,0.58,0.33,0,
1,2024-11-02,44,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,29,16,multi-year,0,0,0,annually,0.0,0.78,1,23.7,139,0.07,17.8,1,3,46,7.3,76.3,0.31,3,0.35,4.8,0.02,0.33,0,usability,0.72,7,0.1,0.1,33.0,0.76,3,3,0.09,0.15,8.7,639,0.06,0,94.0,0.01,0.18,5,0.87,0,1,0.69,0.81,20,0.67,0.36,44,summer break,32,depleted,0,0.5,0.43,-0.09,1.05,0.3,0.86,0.68,0,
1,2024-11-09,45,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,30,15,multi-year,0,0,0,monthly,0.0,0.78,1,23.7,139,-0.05,17.8,0,4,47,7.5,76.3,0.13,5,0.35,14.8,-0.12,0.33,0,usability,0.77,7,0.8,0.08,29.0,0.71,3,3,0.09,0.25,8.7,1547,0.01,0,85.0,0.03,0.19,1,0.84,0,6,0.81,0.63,19,0.76,0.37,45,fall term start,106,allocated,0,0.49,0.32,-0.03,1.07,0.84,0.76,0.85,0,
1,2024-11-16,46,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,31,14,multi-year,0,0,0,annually,0.0,0.78,0,22.7,133,0.05,17.8,0,2,44,9.6,77.3,0.43,9,0.36,6.1,-0.03,0.33,0,bug,0.77,7,-1.0,-0.0,26.0,0.71,3,3,0.09,0.01,8.7,1108,0.18,0,87.0,0.06,0.26,7,0.62,0,2,0.52,0.93,17,0.61,0.39,46,fall term start,58,planning,0,0.49,0.49,-0.02,1.06,0.14,0.25,0.74,0,
1,2024-11-23,47,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,32,13,multi-year,0,0,0,annually,0.0,0.78,0,25.7,151,0.03,17.8,0,1,43,3.4,74.3,0.27,9,0.38,7.2,-0.17,0.33,0,usability,0.78,7,0.5,-0.01,34.0,0.66,3,3,0.09,0.15,8.7,1090,0.12,0,91.0,0.13,0.12,68,0.76,0,12,0.71,0.46,21,0.76,0.75,47,fall term start,87,planning,0,0.49,0.46,0.0,1.06,0.65,0.56,0.53,0,
1,2024-11-30,48,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,33,12,multi-year,1,0,0,monthly,0.0,0.78,0,20.7,121,-0.09,17.8,0,5,46,3.1,79.3,0.1,8,0.36,12.0,0.06,0.33,0,bug,0.82,8,-1.0,-0.07,29.0,0.93,4,4,0.09,0.23,8.7,1472,0.15,0,61.0,0.03,0.05,70,0.44,0,11,0.51,0.83,21,0.68,0.71,48,fall term start,88,allocated,0,0.48,0.47,0.01,1.07,0.58,0.36,0.31,0,
1,2024-12-07,49,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,34,11,multi-year,0,0,0,monthly,0.0,0.78,0,22.7,133,0.04,17.8,0,3,43,7.1,77.3,0.35,6,0.37,23.3,0.0,0.33,0,billing,0.86,8,1.0,-0.04,36.0,0.94,4,4,0.09,0.24,8.7,1641,0.28,0,75.0,0.13,0.39,39,0.36,0,9,0.55,0.93,15,0.74,0.75,49,fall mid-term,12,allocated,0,0.47,0.38,-0.1,1.09,0.66,0.3,0.68,0,
1,2024-12-14,50,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,35,10,multi-year,0,0,0,monthly,0.0,0.78,0,21.7,127,0.07,17.8,0,4,46,7.8,78.3,0.31,5,0.38,4.8,0.05,0.33,0,feature,0.86,8,-0.5,0.02,38.0,0.78,4,4,0.09,0.13,8.7,637,0.14,0,78.0,0.08,0.24,81,0.27,0,14,0.79,0.81,15,0.53,0.76,50,fall mid-term,120,allocated,0,0.47,0.37,-0.06,1.08,0.78,0.52,0.81,0,
1,2024-12-21,51,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,36,9,multi-year,0,0,0,monthly,0.0,0.78,0,20.7,121,-0.0,17.8,0,5,44,3.8,79.3,0.17,3,0.36,10.6,-0.1,0.33,0,billing,0.83,8,-0.9,-0.08,21.0,0.84,4,4,0.09,0.0,8.7,1477,0.02,0,82.0,0.17,0.38,79,0.5,2,6,0.36,0.49,0,0.84,0.48,51,fall mid-term,35,allocated,0,0.48,0.28,0.07,1.08,0.85,0.48,0.32,0,
1,2024-12-28,52,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,37,8,multi-year,0,0,0,quarterly,0.0,0.78,1,15.7,92,-0.05,17.8,1,1,47,5.5,84.3,0.36,4,0.37,13.3,-0.09,0.33,0,usability,0.82,8,0.8,0.05,44.0,0.62,4,4,0.09,0.13,8.7,1351,0.0,0,76.0,0.07,0.04,82,0.62,0,8,0.4,0.96,14,0.67,0.42,52,fall mid-term,69,allocated,0,0.49,0.27,0.06,1.05,0.08,0.55,0.4,0,
1,2025-01-04,1,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,38,7,multi-year,0,0,0,annually,0.0,0.78,0,17.7,104,-0.0,17.8,0,5,47,8.2,82.3,0.38,4,0.38,15.5,0.2,0.33,0,feature,0.85,8,-0.8,-0.05,46.0,0.71,4,4,0.09,0.3,8.7,1685,0.21,0,75.0,0.14,0.18,45,0.08,0,11,0.77,0.46,16,0.99,0.62,1,winter term start,11,depleted,1,0.48,0.38,0.08,1.07,0.47,0.71,0.32,0,
1,2025-01-11,2,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,39,6,multi-year,0,0,0,annually,0.0,0.78,1,22.7,133,-0.09,17.8,0,1,50,6.5,77.3,0.41,3,0.39,8.5,0.07,0.33,0,feature,0.85,8,0.4,0.08,33.0,0.71,4,4,0.09,0.04,8.7,1800,0.09,0,85.0,0.17,0.41,29,0.09,0,10,0.86,0.47,17,0.63,0.64,2,winter term start,78,allocated,1,0.48,0.35,0.05,1.08,0.5,0.26,0.57,0,
1,2025-01-18,3,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,40,5,multi-year,0,0,0,quarterly,0.0,0.78,0,22.7,133,0.02,17.8,0,4,51,5.8,77.3,0.42,5,0.39,1.9,0.17,0.33,0,login,0.85,8,0.7,0.05,43.0,0.98,4,4,0.09,0.05,8.7,960,0.14,0,91.0,0.16,0.26,65,0.63,2,0,0.3,0.72,0,0.66,0.65,3,winter term start,75,depleted,1,0.48,0.44,-0.07,1.08,0.29,0.62,0.65,0,
1,2025-01-25,4,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,41,4,multi-year,0,0,0,monthly,0.0,0.78,1,21.7,127,0.09,17.8,1,3,48,5.9,78.3,0.45,9,0.39,12.8,-0.04,0.33,0,bug,0.86,8,0.5,0.08,19.0,0.61,4,4,0.09,0.14,8.7,1273,0.3,0,62.0,0.01,0.11,74,0.74,0,3,0.86,0.7,4,0.52,0.6,4,winter term start,110,allocated,1,0.47,0.59,0.09,1.08,0.78,0.68,0.68,0,
1,2025-02-01,5,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,42,3,multi-year,0,0,0,annually,0.0,0.78,1,21.7,127,0.07,17.8,0,4,46,9.9,78.3,0.39,9,0.42,4.2,0.2,0.33,0,bug,0.88,8,-0.5,0.04,27.0,0.82,4,4,0.09,0.2,8.7,915,0.13,0,92.0,0.18,0.3,17,0.71,0,13,0.84,0.67,3,0.96,0.3,5,winter term start,92,depleted,1,0.48,0.69,0.04,1.07,0.7,0.67,0.49,0,
1,2025-02-08,6,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,43,2,multi-year,0,0,1,monthly,0.0,0.78,1,22.7,133,-0.02,17.8,0,3,47,1.9,77.3,0.16,8,0.39,4.0,0.17,0.33,0,billing,0.85,8,0.7,0.0,23.0,0.65,4,4,0.09,0.07,8.7,894,0.02,0,64.0,0.05,0.41,59,0.51,0,1,0.4,0.44,1,0.8,0.49,6,winter mid-term,70,depleted,1,0.48,0.64,-0.1,1.08,0.34,0.76,0.67,0,
1,2025-02-15,7,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,44,1,multi-year,0,0,0,monthly,0.0,0.78,0,26.7,157,0.09,17.8,0,1,50,10.0,73.3,0.49,8,0.4,9.4,-0.18,0.33,0,billing,0.84,8,-0.2,-0.05,38.0,0.65,4,4,0.09,0.03,8.7,659,0.06,0,60.0,0.18,0.39,51,0.23,0,5,0.71,0.73,12,0.83,0.29,7,winter mid-term,4,depleted,1,0.47,0.62,0.09,1.08,0.31,0.74,0.53,0,
1,2025-02-22,8,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,45,0,multi-year,0,0,1,monthly,0.0,0.78,0,26.7,157,-0.04,17.8,1,5,52,3.2,73.3,0.48,7,0.4,22.4,0.17,0.33,0,feature,0.88,8,0.7,-0.08,33.0,0.82,4,4,0.09,0.22,8.7,1482,0.07,0,75.0,0.18,0.09,10,0.8,0,7,0.37,0.82,3,0.65,0.34,8,winter mid-term,44,depleted,1,0.46,0.69,0.07,1.09,0.41,0.57,0.32,0,
1,2025-03-01,9,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,46,104,multi-year,0,0,0,annually,0.06,0.78,1,25.7,151,-0.02,17.8,1,3,54,4.1,74.3,0.36,5,0.4,15.3,-0.1,0.33,0,feature,0.91,9,-0.3,-0.02,38.0,0.98,4,4,0.09,0.29,8.7,637,0.04,0,86.0,0.1,0.16,86,0.03,0,10,0.5,0.72,18,0.9,0.48,9,winter mid-term,109,planning,0,0.45,0.62,-0.09,1.1,0.07,0.37,0.55,0,
1,2025-03-08,10,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,47,103,multi-year,0,0,0,monthly,0.0,0.78,0,28.7,168,-0.09,17.8,1,5,51,6.5,71.3,0.35,5,0.37,3.5,-0.16,0.33,0,login,0.93,9,0.5,-0.01,19.0,0.89,4,4,0.09,0.1,8.7,872,0.12,0,70.0,0.09,0.18,57,0.72,0,5,0.36,0.51,9,0.65,0.27,10,winter mid-term,78,depleted,0,0.43,0.64,-0.07,1.14,0.99,0.81,0.64,0,
2,2024-08-17,33,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,17,5,annual,0,0,0,monthly,0.0,0.59,1,44.0,139,0.04,18.9,0,2,23,9.3,56.0,0.44,14,0.22,13.5,0.1,0.42,0,billing,0.46,4,-0.9,-0.08,24.0,0.46,2,2,0.05,0.2,4.6,673,0.25,0,65.0,0.19,0.22,57,0.55,0,3,0.84,0.92,9,0.78,0.3,33,spring mid-term,30,allocated,1,0.41,1.34,-0.06,1.15,0.73,0.77,0.68,1,Restructuring
2,2024-08-24,34,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,18,4,annual,1,0,0,monthly,0.05,0.59,0,28.0,88,0.06,18.9,1,5,22,3.8,72.0,0.44,28,0.4,4.0,0.02,0.42,0,bug,0.28,2,0.2,0.03,29.0,0.28,1,1,0.05,0.01,4.6,572,0.14,0,65.0,0.18,0.07,88,0.9,1,7,0.4,0.92,17,0.71,0.36,34,spring mid-term,29,allocated,1,0.55,0.56,0.06,0.94,0.87,0.4,0.51,1,Restructuring
2,2024-08-31,35,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,19,3,annual,0,0,1,quarterly,0.0,0.59,0,23.1,73,0.07,18.9,1,1,22,1.3,76.9,0.43,60,0.63,17.6,-0.01,0.42,0,feature,0.18,1,0.3,-0.06,19.0,0.2,0,0,0.05,0.18,4.6,1289,0.02,0,63.0,0.13,0.02,30,0.2,0,10,0.35,0.74,15,0.67,0.47,35,spring mid-term,96,allocated,1,0.66,0.22,-0.1,0.77,0.75,0.66,0.69,1,Dissatisfied with features
2,2024-09-07,36,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,20,2,annual,1,0,1,monthly,0.0,0.59,0,14.1,44,-0.02,18.9,1,4,20,2.2,85.9,0.44,161,0.88,17.6,-0.08,0.42,0,feature,0.09,0,0.7,0.06,24.0,0.09,0,0,0.05,0.03,4.6,857,0.24,0,66.0,0.16,0.04,16,0.98,0,12,0.51,0.58,19,0.68,0.75,36,spring exams,15,depleted,1,0.78,0.11,0.05,0.58,0.69,0.82,0.4,1,Technical issues
2,2024-09-14,37,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,21,1,annual,0,0,0,annually,0.0,0.59,0,10.0,31,0.09,18.9,0,2,18,2.5,90.0,0.41,424,1.0,7.7,0.03,0.42,0,bug,0.08,0,0.2,-0.09,22.0,0.08,0,0,0.05,0.13,4.6,1557,0.07,0,94.0,0.02,0.24,31,0.67,0,14,0.44,0.59,9,0.57,0.54,37,spring exams,84,allocated,1,0.83,0.12,-0.06,0.51,0.26,0.59,0.55,1,Budget constraints
2,2024-09-21,38,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,22,0,annual,0,0,0,monthly,0.0,0.59,1,10.0,31,0.03,18.9,0,2,17,6.9,90.0,0.38,1098,1.0,7.3,0.1,0.42,0,feature,0.07,0,-1.0,0.01,26.0,0.05,0,0,0.05,0.25,4.6,515,0.27,0,69.0,0.15,0.31,5,0.5,0,3,0.51,0.88,14,0.59,0.68,38,spring exams,38,depleted,1,0.83,0.08,-0.02,0.5,0.97,0.85,0.55,1,Budget constraints
2,2024-09-28,39,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,23,52,annual,0,0,0,monthly,0.0,0.59,0,10.0,31,0.08,18.9,1,1,18,2.3,90.0,0.38,2854,1.0,15.2,0.13,0.42,0,billing,0.03,0,0.4,-0.02,28.0,0.04,0,0,0.05,0.04,4.6,634,0.3,0,66.0,0.14,0.12,18,0.2,0,8,0.67,0.57,7,0.62,0.49,39,spring exams,69,depleted,0,0.84,0.07,0.03,0.49,0.3,0.31,0.81,1,Switching to competitor
2,2024-10-05,40,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,24,51,annual,0,0,0,annually,0.0,0.59,0,10.0,31,-0.07,18.9,0,5,16,6.8,90.0,0.19,7422,1.0,4.4,0.12,0.42,0,login,0.0,0,0.2,0.05,33.0,0.0,0,0,0.05,0.3,4.6,786,0.13,0,73.0,0.03,0.04,59,0.49,0,7,0.32,0.76,5,0.74,0.51,40,spring exams,96,planning,0,0.85,0.05,0.07,0.47,0.46,0.43,0.65,1,Restructuring
2,2024-10-12,41,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,25,50,annual,0,0,0,monthly,0.0,0.59,0,10.0,31,-0.1,18.9,1,1,14,6.3,90.0,0.35,7423,1.0,4.6,0.19,0.42,1,feature,0.0,0,0.1,-0.01,13.0,0.0,0,0,0.05,0.15,4.6,680,0.18,0,93.0,0.03,0.16,19,0.22,0,4,0.85,0.72,6,0.88,0.39,41,summer break,119,allocated,0,0.85,0.05,-0.07,0.47,0.97,0.27,0.49,1,Poor user adoption
2,2024-10-19,42,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,26,49,annual,0,0,0,annually,0.0,0.59,1,10.0,31,0.08,18.9,1,3,11,2.6,90.0,0.25,7424,1.0,15.8,0.08,0.42,0,billing,0.02,0,0.6,-0.02,15.0,0.02,0,0,0.05,0.3,4.6,535,0.08,0,65.0,0.09,0.33,76,0.65,0,6,0.59,0.55,16,0.52,0.71,42,summer break,58,allocated,0,0.84,0.05,-0.08,0.48,0.83,0.41,0.87,1,Dissatisfied with features
2,2024-10-26,43,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,27,48,annual,0,0,0,annually,0.0,0.59,1,10.0,31,-0.06,18.9,0,2,13,8.4,90.0,0.12,7423,1.0,22.0,-0.06,0.42,0,login,0.0,0,-0.7,-0.05,13.0,0.0,0,0,0.05,0.22,4.6,1464,0.13,0,90.0,0.19,0.06,47,0.93,0,6,0.69,0.7,21,0.88,0.34,43,summer break,18,planning,0,0.85,0.05,-0.04,0.47,0.48,0.23,0.74,1,Restructuring
2,2024-11-02,44,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,28,47,annual,0,0,0,annually,0.0,0.59,1,10.0,31,-0.04,18.9,1,4,14,10.0,90.0,0.43,7421,1.0,13.0,0.0,0.42,0,billing,0.0,0,0.7,-0.05,33.0,0.0,0,0,0.05,0.1,4.6,1314,0.16,0,70.0,0.05,0.4,4,0.81,0,11,0.58,0.6,0,0.78,0.3,44,summer break,23,planning,0,0.85,0.05,-0.09,0.47,0.34,0.26,0.73,1,Dissatisfied with features
2,2024-11-09,45,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,29,46,annual,0,0,0,monthly,0.0,0.59,0,10.0,31,-0.09,18.9,1,2,15,8.8,90.0,0.23,17807,1.0,11.0,-0.05,0.42,0,billing,0.01,0,-0.8,-0.03,45.0,0.01,0,0,0.05,0.21,4.6,659,0.09,0,70.0,0.05,0.14,34,0.54,0,8,0.53,0.86,5,0.57,0.32,45,fall term start,21,planning,0,0.85,0.05,-0.02,0.48,0.43,0.3,0.59,1,Switching to competitor
2,2024-11-16,46,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,30,45,annual,0,0,0,quarterly,0.0,0.59,0,10.0,31,-0.07,18.9,1,4,17,1.4,90.0,0.24,42732,1.0,3.8,0.1,0.42,0,billing,0.02,0,-0.6,0.01,18.0,0.02,0,0,0.05,0.17,4.6,770,0.03,0,79.0,0.12,0.36,69,0.52,0,2,0.72,0.97,18,0.62,0.45,46,fall term start,78,allocated,0,0.84,0.05,0.09,0.48,0.25,0.67,0.55,1,Dissatisfied with features
2,2024-11-23,47,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,31,44,annual,0,0,0,quarterly,0.0,0.59,0,10.0,31,0.04,18.9,1,4,20,7.0,90.0,0.38,102563,1.0,23.4,0.08,0.42,0,login,0.0,0,0.1,-0.06,47.0,0.0,0,0,0.05,0.06,4.6,985,0.26,0,63.0,0.13,0.22,6,0.24,0,8,0.5,0.52,14,0.81,0.26,47,fall term start,63,allocated,0,0.85,0.07,0.04,0.48,0.74,0.6,0.72,1,Dissatisfied with features
2,2024-11-30,48,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,32,43,annual,0,0,1,annually,0.0,0.59,0,10.0,31,-0.07,18.9,1,1,23,6.5,90.0,0.29,246156,1.0,7.3,-0.18,0.42,0,usability,0.0,0,-0.3,-0.07,34.0,0.0,0,0,0.05,0.3,4.6,1817,0.22,0,82.0,0.01,0.05,12,0.18,1,10,0.84,0.89,3,0.9,0.31,48,fall term start,60,allocated,0,0.85,0.08,0.08,0.47,0.86,0.29,0.63,1,Technical issues
2,2024-12-07,49,School 2,public,starter,low resource,1581,medium,higher-ed,Teacher Lead,West,33,42,annual,0,0,0,annually,0.0,0.59,0,10.0,31,-0.05,18.9,0,2,22,1.4,90.0,0.3,492312,1.0,6.3,-0.06,0.42,0,bug,0.0,0,-0.9,-0.03,14.0,0.0,0,0,0.05,0.12,4.6,1413,0.14,0,81.0,0.0,0.25,42,0.45,0,4,0.74,0.86,9,0.51,0.35,49,fall mid-term,30,planning,0,0.85,0.09,0.01,0.47,0.5,0.59,0.57,1,Switching to competitor
